Noise Traders,Sophisticated Traders,Smile Strength,MM Wealth,Spread Correlation,Spread P-Value
10,5,0.01119794963916651,2131.670064748667,0.015936090033529766,0.8092175611852065
10,20,0.032923551468406774,19015.280926978987,-0.012821382860785633,0.8459858921823193
10,50,0.06739865239350117,30556.825504091972,-0.03182663163511241,0.629612298187735
50,5,0.024504463715620053,-1287.5434938727276,0.07134804860382647,0.2791409682619667
50,20,0.046230065544860324,14249.039550876803,-0.040212990370313104,0.5422300139725422
50,50,0.08070516646995471,50564.1212606371,0.008618648077006881,0.8961165054506948
100,5,0.04287738135438366,-16167.509188867072,0.006406217725697205,0.92268624872188
100,20,0.06460298318362392,8017.013042896736,0.05144816570095266,0.4354384885321442
100,50,0.09907808410871834,31382.128805105658,0.028196225778627244,0.6692064551714874
